year,annual_value,baseline_p5,baseline_p10,baseline_p25,baseline_p50,n_years
2022,50.507,22.86765,25.3977,45.07575,65.5025,30
2023,37.139,22.86765,25.3977,45.07575,65.5025,30
2024,65.18,22.86765,25.3977,45.07575,65.5025,30
2025,79.947,22.86765,25.3977,45.07575,65.5025,30
