Year,January,February,March,April,May,June,July,August,September,October,November,December,Total,Avg
2022 Microsoft,845168,1464367,1174563,823229,1647363,6629195,11482122,13392607,10755739,3146376,983474,1695544,54039747,4503312.25
2023 Microsoft,1386155,1140711,866032,745329,1225953,6147105,7730323,8590099,7065041,4718466,949919,461835,41026968,3418914.0
2024 Microsoft,880197,1199049,1086622,1071095,2213744,5713497,14125039,6113660,20241119,12068662,3118725,745023,68576432,5714702.667
2025 Microsoft,2165343,1685722,1214035,1262885,2105761,5431989,15436893,9929640,9519057,10080687,1876913,1632825,62341750,5195145.833
